"","country","GDP_Y1","GDP_Y2","GDP_Y3","GDP_Y4","GDP_Y5","GDP_Y6","GDP_Y7","GDP_Y8","GDP_Y9","CPI_Y1","CPI_Y2","CPI_Y3","CPI_Y4","CPI_Y5","CPI_Y6","CPI_Y7","CPI_Y8","CPI_Y9","UE_Y6","UE_Y7","UE_Y8","UE_Y9","T_Y1","T_Y2","T_Y3","T_Y4","T_Y5","T_Y6","T_Y7","T_Y8","T_Y9","H_Y1","H_Y2","H_Y3","H_Y4","H_Y5","H_Y6","H_Y7","H_Y8","H_Y9"
"1","SVN",110.769125087099,-353.493353752798,717.337273680097,276.721205559103,-1214.2613504949,251.562901085401,1334.8043152886,3066.3668964092,2380.433397746,4.38633029852839,4.1123239513031,4.2172117213892,3.5365262617275,5.4201659396859,5.59811346686629,5.3832743791729,4.3206527636119,2.93468747061338,-1.20000028610229,0.600000381469721,0.399999618530279,-0.399999618530279,0.164336628437297,2.69829830267081,0.449044609332006,-4.1459713348673,11.0500494724811,0.859519718815008,-1.211491736784,-1.21870429353301,9.26863327269498,26.87010275,-14.30790026,58.55734952,23.57708195,-48.5769772,51.63439019,117.46169886,280.96561662,153.96289501
"2","SVK",378.59781307402,-39.6001850907096,395.44016571703,102.990687351439,-233.64977861463,305.152905739491,816.779218803289,2172.05136375807,1957.88046537965,2.5552621177273,2.8434573865538,3.3079265214092,5.5698534464368,7.0123510847682,4.7844097061933,2.3282887077998,6.1921392538387,5.93159266034699,0.299999237060597,-0.699998855590799,-1.6000003814698,1.5,3.98498042324302,4.31756740691299,-15.618649398237,-4.5657089124572,11.3429461507462,12.916208415504,-1.41950523373998,4.08685969948201,13.878829163438,31.99329128,-23.70403577,4.87341144000001,-16.49774434,-10.58428086,8.21553598,40.00734687,104.16770853,206.04110966
"3","POL",454.68251473759,9.51080898247028,406.88404947304,-131.862282880519,141.352998764809,488.47101524232,215.73430223724,496.444842187031,946.585288350409,8.2539111975878,7.5263460266731,6.73380873434581,4.66794995187679,6.924393113036,4.1599828895305,1.51855416533,0.641642605068895,2.93551491819061,2.1000003814698,1.5,-0.5,-0.299999237060597,1.80329044157391,4.7071588149622,6.0699114473661,-2.50823472255311,6.3323522802886,-2.7214819126396,2.850204839608,8.5128493780254,2.38202903075771,41.0977031,-10.48950232,36.1546528,-15.27799439,-1.72344962,44.51818516,36.72372043,25.72442262,56.51282891
"4","MLT",134.808072570919,-169.164602784509,408.134389016941,210.143488196998,75.614033060001,-409.246911655659,881.959872549158,1994.8377085756,1219.6416092958,1.4374719274123,2.2226927173618,1.7565990933811,1.60963263536911,1.82483352031518,2.30947291161651,1.7758447009779,1.0811497813316,2.3443440631187,0.79999971389771,-0.199999809265142,0.599999904632571,-0.199999809265139,-11.44869702497,-7.42048764004298,2.74603260935899,7.845678342941,17.921069582586,-25.910436141772,-0.724313337206979,-4.97725905851601,1.64709707817698,50.0688275,-17.77425953,27.47865312,2.07247417000008,-18.17848847,26.82592727,149.41540742,243.12791703,152.59906561
"5","LTU",159.35770881925,502.58372554954,336.15811476029,-53.3492201849804,183.80827288488,232.79263647784,616.8405905204,1358.54774099179,1201.43132960818,12.6253941630326,5.67389019344729,3.53135413172302,0.551079056245285,0.741666666666603,1.0083333333334,0.224999999999994,-0.866666666666688,0.883333333333297,0.899999618530201,-3.7999992370605,-0.1000003814697,-2.1999998092652,8.25745632476512,6.8350212767628,-10.3575671670923,-14.8391388766771,8.46162541454432,10.2758858928905,6.80970095484459,-2.23393138532259,3.68903832438359,30.82485115,31.84618391,30.02862339,0.383661749999987,19.03099269,8.01310624999999,45.55952482,89.45541489,24.41313596
"6","LVA",100.29855923321,252.88871654548,294.93221832996,174.00086506883,201.418430934139,220.07794733826,557.09113116455,1000.33368403362,1216.00884402268,7.432521283573,4.1881779185918,2.5072803156642,1.3287638287639,1.5271765271765,1.4670514670515,1.1664261664261,1.82780182780191,3.9381914381914,-0.399999618530199,0,-1.6999998092652,-0.400000572204601,16.0482353121776,-1.45685849871329,1.96636737687301,-10.5732798619632,1.8799273296213,4.74074761359891,-3.15091307804821,1.50530154240521,8.92460421231759,25.38550719,19.32903922,15.66140244,20.29787308,0.76166004000001,19.36494239,34.62786195,48.23066907,94.6796971099999
"7","HUN",35.4133829440398,71.8506882259198,155.26523942681,54.2409453957998,-170.00432106804,647.3214276831,1379.38819444642,1744.90369665842,1863.09907592667,6.7315126283031,6.494941896957,5.94772273051,4.8054923306771,5.15556811521849,5.2985359335563,3.32352393600199,3.0907542510091,4.71753957018082,-0.900000095367432,-0.0999999046325684,0.20000028610229,0,4.91048738923701,11.5738488700892,12.488060215394,6.506102354221,23.366807126937,-6.29344629463,-12.781294237997,-1.41425961730499,6.619139639503,-7.99089254999996,-6.51145345000003,26.25436536,9.87842490999998,-18.93125751,48.56788897,121.10165053,210.44972115,122.31477385
"8","EST",308.351140891011,267.216454046489,432.34596813631,95.7677864631105,-78.02855473814,428.926800539009,809.388257042991,1865.89383107402,1676.22705769579,9.68178169768489,5.46919622656681,4.6913697847207,2.03848352067081,2.5681082110877,3.81787007048959,2.50952562392871,0.973995046675384,2.2480472470947,-0.2999992370606,-3.1000003814697,1.3000001907349,-1.1000003814698,-9.10399139021999,19.584621704261,4.748636140581,-13.557029589289,-18.358448160007,0.137419115067999,-2.559526037756,-0.81347544874501,7.634737367857,53.31967384,4.32603689999999,0.661584500000004,19.46928212,-28.19776261,3.33017193999999,38.95553629,95.73415526,99.93676691
"9","CZE",708.38701265283,-493.17714770365,467.205234771011,-154.159151958232,-298.776110254499,600.18918822833,1417.1806086864,1729.16030998805,1926.57373635229,4.9391955098223,5.21983161833489,7.04396632366691,1.57156220767071,2.92329279700638,3.6623012160898,1.45463049579061,0.0893358278766954,2.34752104770818,-0.80000019073486,-1,0.5,0.699999809265138,-2.4807331401349,3.5595539682907,-0.471079871839905,1.61965509121551,12.054583002909,1.01502325025862,-7.76228599390191,3.5620408340818,18.7185881960669,28.76829307,-33.89432244,28.751538,-14.37626509,-22.37552696,42.8349606,118.5235759,144.22266182,104.9768344
"10","CYP",-128.131614805301,-935.489867451199,866.185050214101,172.8672091888,-901.4189219326,415.856931842,1265.0645716524,4121.8451340566,3468.3091801604,1.99646084816339,2.48826347080552,1.59290506708459,1.1914833722651,3.07678042602841,1.52955764200291,2.20997018127679,3.35698612707209,1.93098276588979,-1,-0.70000004768372,0.799999952316289,0.20000028610229,6.52789364795399,-0.766773654892006,-4.978921709811,-3.52824472057398,6.38109162224799,-5.544436095175,-8.27595869092899,-9.642603415669,0.128074202113993,63.41483279,-15.81822286,47.64240188,11.99461552,-34.55289529,30.35215126,110.95364268,365.74664966,124.25967056
