"","GDP_Y1","GDP_Y2","GDP_Y3","GDP_Y4","GDP_Y5","CPI_Y1","CPI_Y2","CPI_Y3","CPI_Y4","CPI_Y5","UE_Y1","UE_Y2","UE_Y3","UE_Y4","UE_Y5","T_Y1","T_Y2","T_Y3","T_Y4","T_Y5","H_Y1","H_Y2","H_Y3","H_Y4","H_Y5"
"Poland",0,0.18847927365228,0.256711973104324,0.592295998631715,1,1,0.814495254529766,0.761863675582386,0.527178602243293,0,0,0.0899999575614876,0.429999998569483,0.799999961853029,1,0.406119805484902,0,0.762997677817775,0.966533529429466,1,0,0.124978287433004,0.193856943317698,0.477530055017662,1
"Slovenia",0.191951141749259,0.00445964667391498,0,0.559365759172969,1,0,0.393818402971023,0.781485781911107,1,0.904128545395816,0.166245329977329,0,0.21375022887053,0.797947541689487,1,0,0.332637264461765,0.776677694093072,1,0.83118710563669,0.694960593093395,0.226225278576665,0,0.201089455019944,1
"Slovakia",0.136986855334831,0,0.091628025331124,0.579116361775912,1,0,0.389967095382258,0.544414595041247,0.903413715899329,1,0,0.256332961306576,0.572932998022735,0.824878582363895,1,0.24724587689423,0.27423368709596,1,0.748399931289497,0,0.757617864176385,0.175395312293749,0,0.489590784200516,1
"Lithuania",0.069901969245926,0.00122355891751675,0,0.566158025561191,1,1,0.841513236456348,0.652334341301182,0.405431712381245,0,0,0.369180103473427,0.753824198376988,1,0.753823704194788,0,0.644373239653117,0.812702051407955,0.151691473360663,1,0,0.0127938419386432,0.161578659229904,0.514771434971031,1
"Latvia",0,0.0342667596903247,0.218497023655703,0.781837900211788,1,1,0.932721778587914,0.908022692700397,0.662212567795226,0,0,0.166128272254061,0.966443710860633,1,0.778209353606488,0.192724758144096,1,0.982169021792906,0.44870376324713,0,0,0.0176305348019878,0.266701588891593,0.877255797916405,1
"Hungary",1,0.616223918717864,0,0.313823578899216,0.403084478840163,0.592631485060295,0.925462618183415,1,0.376677768056644,0,1,0.278066976922614,0.122886542549996,0.218761120961388,0,0,0.124480521725117,0.738262808641595,0.914269918972665,1,1,0.813188635179069,0.489605251387444,0.266021191002574,0
"Estonia",0.150238032907638,0,0.15546766068902,1,0.857825392344655,1,0.876604064548106,0.730296855207341,0.471471057994168,0,0,0.379705035995689,0.669654266792005,1,0.894556800470837,0,0.789061125320609,0.88329681506389,0.678705109366625,1,0.184548551374614,0,0.0149029310878455,0.488626188631934,1
"CzechRepublic",0.00536222080970927,0,0.0398238089737064,0.387934904005636,1,1,0.982178778335041,0.58825440223459,0.566964662554042,0,0,0.199718959167143,0.382015422744569,0.794956308118489,1,0,0.620334159646464,1,0.936431050212047,0.627939314739556,0.392173503580202,0.252306991161894,0,0.142565669512484,1
"Cyprus",1,0.452650239368976,0,0.328444574605491,0.526422694462712,0.782057209246155,0.768719082803857,1,0.760574162545526,0,0.624999944120654,0,0.500000074505799,0.874999981373553,1,1,0.707711858490728,0,0.860661634981485,0.242544623758908,0.143555720528539,0,0.101513444681674,0.360534025983626,1
"Malta",0.292408793304991,0.141621098533717,0,0.523468537011905,1,1,0.879582638986757,0.445989583659071,0.63302193758561,0,0,0.454603852028734,0.412980355546114,0.695340354489226,1,0.113514159590728,0,0.864508098061948,1,0.84494448459978,1,0.703487614611195,0.291117997223661,0.0521091785157758,0
"Croatia",0.00162384745015606,0,0.122506293733122,0.527682861301729,1,1,0.834510253984896,0.656314513463186,0.511668190755262,0,0,0.15833373696777,0.449547928981069,0.694558446693275,1,0,0.284279769880072,1,0.375637298327214,0.235366459938445,0,0.0672957005812323,0.199980426602808,0.602177392463146,1
"Romania",0,0.122889182684298,0.270421082371768,0.720137767500056,1,0,0.172110342964365,0.466590088024077,0.866378995325035,1,0.167279477674507,0,0.359629328775826,0.491537746756997,1,1,0.669842739349232,0.608132496327326,0.368624374631346,0,0.451131002720113,0.359695004662827,0,0.561161889044105,1
"Bulgaria",0.0971722148357485,0.0159935791494054,0,0.535973222122025,1,1,0.989426398503808,0.831285821481717,0.564541073857416,0,0,0.257274004804868,0.425229162129957,0.779015714784428,1,0,0.15495685923244,0.580148783268972,1,0.879271553410679,0.356879923274295,0.235208168878835,0,0.394085123305413,1
